fips,farms,fland,tcland,clay,sand,flood,kfact,lslop,irr,perm,wet,moist,salt,year,rvalue_lb_acre,rvalue_me,rtfsale,rtotexp,rprofit,rgpay_tot,rvalue_me_acre,rprofit_acre
1017,324,94.277,28.327,.5,0,0,.18826087,81.521736,0,2.6500001,.1072539,.10728261,0,1997,1004.683399706561,9461.041395933767,4.65688754977992,5.423763152378956,-.7668756025990358,.1527206,100353.66,-8134.2808
1017,403,128.671,39.924,.61764705,0,0,.21735294,110,0,2.3058825,.1072539,.11578432,0,1978,1562.714816433567,,16.914625,,,,,
1017,343,109.555,33.276,.5,0,0,.19540541,96.351349,0,2.6500001,.1072539,.10682432,0,1992,813.203125,11372.7962962963,4.998488541666666,4.644293402777778,.3541951388888889,.15179791,103809.02,3233.0349
1019,487,119.956,72.60299999999999,.087847732,0,.28257686,.31270865,87.098099,.014641289,1.8154026,.088648804,.16583455,0,1987,1093.513797814208,27532.65819672131,37.81510068306011,30.89709726775956,6.918003415300547,2.2851453,229522.98,57671.176
1019,441,121.504,70.70999999999999,.088105723,0,.2657856,.31537446,87.214394,.014684288,1.773304,.089039303,.16652717,0,1992,1072.22337962963,22104.66805555555,47.848871875,37.72901076388889,10.11986111111111,1.6336348,181925.44,83288.297
1019,588,143.656,82.92700000000001,.07079646,0,.28466076,.31635693,87.467552,.014749262,1.8192035,.088258304,.16601032,0,1982,1513.071087025821,,41.53645584953777,,,,,
1019,494,123.122,69.006,.098846786,0,.29489291,.31843492,85.993408,0,1.7731795,.089039303,.16744646,0,1997,1448.664011737581,23781.87057220708,53.80565038775938,39.33428233074827,14.47136805701111,.83778161,193156.95,117536.82
1019,546,121.406,62.53,.098846786,0,.29489291,.31843492,85.993408,0,1.7731795,.089039303,.16744646,0,2002,1542,27523,33.92,29.944,3.976,2.135,226702.14,32749.617
1019,652,133.737,77.89,.07079646,0,.28466076,.31635693,87.467552,.014749262,1.8192035,.088258304,.16601032,0,1978,1410.310314685315,,49.67476879370629,,,,,
1021,663,98.746,44.194,0,.098039217,.098039217,.23694117,48.725491,0,4.3043137,.1160196,.11554902,0,1997,1741.01488157619,23578.97034164745,10.30754988472018,10.11119482288828,.1963550618319011,.18871902,238784.06,1988.4862
1021,793,114.79,54.426,0,0,.15294118,.26070589,44.132355,0,3.4035294,.1162427,.12549999,0,1982,1239.324673254702,,17.08675342684093,,,,,
1021,667,98.294,40.26,0,.098039217,.098039217,.23694117,48.725491,0,4.3043137,.1160196,.11554902,0,2002,1796,21206,13.107,13.769,-.662,.229,215740.53,-6734.8975
1021,845,123.778,52.82,0,0,.15294118,.26070589,44.132355,0,3.4035294,.1162427,.12549999,0,1978,1398.936844405594,,17.31497115384616,,,,,
1021,637,99.46599999999999,46.557,0,.079113923,.12658228,.23436709,50.253166,0,4.2370253,.1160196,.11879747,0,1992,1410.756828703704,18585.6068287037,14.51477222222222,11.77036226851852,2.744409953703704,.53611171,186853.88,27591.438
1021,704,104.106,49.193,0,.071225069,.11396012,.23903134,53.803417,0,4.1874642,.11613115,.11874644,0,1987,1429.104508196721,18557.02868852459,13.44353633879781,9.450575683060109,3.992960655737705,.27586696,178251.28,38354.762
1027,466,79.44499999999999,30.806,0,0,0,.15000001,100,0,13,.0397419,.105,0,1982,927.4196684730634,,24.27715922856232,,,,,
1027,439,84.379,28.793,0,0,.35135135,.19567567,82.972977,0,8.8891888,.039999999,.13662162,0,1987,824.7568306010929,12438.18620218579,21.46216352459016,18.58689057377049,2.875272950819672,.21756516,147408.55,34075.695
1027,397,75.249,31.581,0,0,.72222221,.24388888,107.22222,0,4.5500002,.040258098,.17,0,1997,1358.122511003982,11642.76430517711,26.97591291133934,22.16739561936701,4.808517291972333,.043634456,154723.17,63901.41
1027,370,68.47799999999999,28.707,0,0,.72222221,.24388888,107.22222,0,4.5500002,.040258098,.17,0,1992,933.677662037037,11760.72430555556,26.51885509259259,21.99744571759259,4.521409375,.10119861,171744.56,66027.18
1027,427,84.459,24.253,0,0,.72222221,.24388888,107.22222,0,4.5500002,.040258098,.17,0,2002,1390,14847,22.802,18.662,4.14,.206,175789.44,49017.867
1027,443,80.31,30.175,0,0,0,.15000001,100,0,13,.0397419,.105,0,1978,1050.908653846154,,34.18865166083916,,,,,
1031,788,186.981,95.383,0,.41195741,.04832105,.17433251,83.472565,.040950041,7.3449631,.068442799,.089230143,0,1997,1438.846258645986,39698.63005659191,148.6647807587508,119.2715188639698,29.39326189478097,1.2250373,212313.72,157199.19
1031,760,175.209,95.172,0,.38697016,.046310831,.17653847,82.633438,.039246466,7.1351647,.068442799,.089583986,0,1992,1042.10474537037,33685.88530092593,113.97855,91.27150925925926,22.70704074074074,1.0758376,192261.16,129599.74
1031,842,179.311,97.764,0,.37602383,.043931495,.17726731,82.196571,.044676099,7.0545049,.068327948,.089690991,0,1987,898.7005464480874,35999.21366120219,103.980506420765,86.75446461748635,17.22604180327869,1.2669971,200764.11,96067.961
1031,854,197.493,92.123,0,.41195741,.04832105,.17433251,83.472565,.040950041,7.3449631,.068442799,.089230143,0,2002,1201,52003,134.009,96.136,37.873,3.3199999,263315.66,191768.83
1031,1054,211.884,120.931,0,.3718228,.042846769,.17751634,81.859116,.073347859,7.0248365,.068213098,.089546114,0,1978,1303.399694055944,,115.7250600961539,,,,,
1031,944,194.509,105.682,0,.3718228,.042846769,.17751634,81.859116,.073347859,7.0248365,.068213098,.089546114,0,1982,1249.279088300925,,100.421798055467,,,,,
1033,680,156.544,97.19799999999999,.040636044,0,.18197879,.33521202,50.432861,0,1.5623674,.13831121,.17803003,0,1978,1546.791958041958,,44.51348798076923,,,,,
1033,557,115.542,69.533,.019880716,0,.16103379,.33564612,53.02187,0,1.4771372,.1385618,.17924453,0,1997,1597.021169566129,21113.62345420247,35.55117480612031,29.29726608677426,6.253908719346049,1.1955841,182735.48,54126.715
1033,584,131.852,69.414,.019880716,0,.16103379,.33564612,53.02187,0,1.4771372,.1385618,.17924453,0,2002,1380,28317,34.602,28.629,5.973,1.75,214763.52,45300.793
1033,488,138.135,87.663,.02016129,0,.16330644,.33495969,49.848789,0,1.4796371,.1385618,.17909274,0,1992,1287.872800925926,19033.77210648148,33.13531666666667,26.79112754629629,6.34418912037037,2.5010512,137791.09,45927.457
1033,563,145.104,93.44799999999999,.058510639,0,.19858156,.33682624,49.530144,.04609929,1.5106384,.1384365,.1776507,0,1987,1225.759289617486,23415.98401639344,33.67709658469945,26.43345642076503,7.243640163934426,4.1678662,161373.8,49920.336
1033,686,161.36,103.787,.040636044,0,.18197879,.33521202,50.432861,0,1.5623674,.13831121,.17803003,0,1982,1539.616193815747,,46.38591504622251,,,,,
1035,369,81.825,25.206,0,0,0,.23254481,90.1362,.089605734,3.6035843,.1159685,.097562723,0,2002,1109,9349,5.192,7.286,-2.094,.722,114256.03,-25591.201
